model,o,d,trip_count,touched_seeds,web_edges_unique,web_edges_attempted,nloc,mloc,avg_outdeg,max_outdeg,frac_outdeg1,undirected_bridges,undirected_articulations,dom_nodes_on_all_paths,dom_edges_on_all_paths,min_edge_cut,layer_width_entropy
twotree,1188608062#1,119392511,524,15,0,0,23,23,1.0,2,0.9130434782608695,11,11,11,12,-1,2.1226060622557017
twotree,1118011300,119392511,524,0,0,0,2,1,0.5,1,0.5,1,0,0,1,-1,0.6931471805599453
twotree,119392511,1188608062#1,524,4,0,0,18,17,0.9444444444444444,1,0.9444444444444444,17,16,16,17,-1,2.293118601486813
twotree,119392524,41938209,521,243,48,48,216,231,1.0694444444444444,3,0.9351851851851852,24,24,24,25,-1,2.588247723671793
twotree,548478181,-104749611#10,520,22,0,0,124,125,1.0080645161290323,2,0.9758064516129032,9,9,9,10,-1,2.718751792870841
twotree,43833216#1,179389127#3,517,33,5,5,178,190,1.0674157303370786,3,0.9269662921348315,5,5,5,6,-1,2.557500308784781
twotree,41289070#0,-14421948,515,55,16,16,236,237,1.0042372881355932,2,0.9872881355932204,13,13,13,14,-1,2.854735601104299
twotree,119392511,41784756,512,69,7,7,220,225,1.0227272727272727,2,0.9681818181818181,16,16,16,17,-1,2.4728767678509507
twotree,-14424417,41784756,509,259,190,190,715,744,1.0405594405594405,3,0.9636363636363636,31,31,31,32,-1,2.3850231719909996
twotree,119392514#2,119392524,501,0,0,0,4,3,0.75,1,0.75,3,2,2,3,-1,1.3862943611198906
twotree,41169505,41289070#0,495,40,70,70,506,524,1.0355731225296443,3,0.9664031620553359,17,17,17,18,-1,2.3895979357113273
twotree,-218748764#3,119392511,486,49,33,33,355,372,1.047887323943662,3,0.952112676056338,15,15,15,16,-1,2.515746939416857
twotree,1370892719#1,41784756,486,101,38,38,451,469,1.039911308203991,2,0.9556541019955654,25,25,25,26,-1,2.397069656467964
twotree,344579191#1,14406517,483,9,0,0,20,20,1.0,2,0.9,15,15,15,16,-1,1.9730014063936128
twotree,48360496,42704609,481,246,175,175,463,507,1.0950323974082072,3,0.9222462203023758,24,24,24,25,-1,2.338222883207597
twotree,119392511,161676198,475,83,26,26,549,566,1.0309653916211294,2,0.9653916211293261,8,8,8,9,-1,2.3838523636714575
twotree,118709487,1370892719#1,473,99,33,33,324,342,1.0555555555555556,2,0.9382716049382716,13,13,13,14,-1,2.4766368993334096
twotree,41784756,344579191#1,472,897,558,558,1763,1859,1.0544526375496313,3,0.9546228020419739,57,57,57,58,-1,2.2354457747339382
twotree,119392524,119392514#2,471,248,194,194,678,725,1.0693215339233038,3,0.9410029498525073,6,6,6,7,-1,2.530678185400786
twotree,41784756,158816797,470,90,54,54,296,310,1.0472972972972974,3,0.9527027027027027,17,17,17,18,-1,2.536878568718957
twotree,41289070#0,41169505,468,18,0,0,115,116,1.008695652173913,2,0.9739130434782609,27,27,27,28,-1,2.426286076659369
twotree,-14424417,14417021#1,467,38,0,0,65,64,0.9846153846153847,1,0.9846153846153847,64,63,63,64,-1,2.618195503195359
twotree,1370892719#7,1370892719#1,460,19,0,0,40,40,1.0,2,0.95,25,25,25,26,-1,2.3793921876862822
twotree,543970512,14406517,459,131,62,62,529,550,1.0396975425330812,3,0.9584120982986768,15,15,15,16,-1,2.475894925061675
twotree,41784756,41784763#0,457,86,0,0,111,112,1.009009009009009,2,0.972972972972973,34,34,34,35,-1,2.512897814459477
twotree,1370892719#1,1370892719#7,455,4,0,0,9,8,0.8888888888888888,1,0.8888888888888888,8,7,7,8,-1,1.5810937501718239
twotree,1118581567,41289070#0,455,39,0,0,158,160,1.0126582278481013,2,0.9746835443037974,27,27,27,28,-1,2.540929852413522
twotree,-14411047#1,41411046,450,11,0,0,80,80,1.0,2,0.975,21,21,21,22,-1,2.2068781297855837
twotree,41169505,119392511,441,28,13,13,222,229,1.0315315315315314,2,0.9594594594594594,14,14,14,15,-1,2.3444384183486324
twotree,615718351,41411046,440,41,0,0,128,131,1.0234375,2,0.9609375,12,12,12,13,-1,2.2529249062056595
twotree,-14424417,551708756,439,80,0,0,93,94,1.010752688172043,2,0.967741935483871,26,26,26,27,-1,2.7061037593380295
twotree,14403170#1,14406517,435,176,161,161,891,937,1.0516273849607183,3,0.9494949494949495,5,5,5,6,-1,2.420743253713444
twotree,1370892719#1,118709487,434,52,42,42,253,269,1.0632411067193677,2,0.9288537549407114,3,3,3,4,-1,2.574398549057696
twotree,543970512,14403170#1,431,37,17,17,128,131,1.0234375,2,0.9609375,22,22,22,23,-1,2.2489136025996044
twotree,41784756,-14424417,431,114,18,18,209,211,1.0095693779904307,2,0.9808612440191388,52,52,52,53,-1,2.6285086781732705
twotree,1118282184,41289070#0,430,0,0,0,20,21,1.05,2,0.85,1,1,1,2,-1,2.220636797977266
twotree,14407516#0,118709487,430,8,0,0,23,22,0.9565217391304348,1,0.9565217391304348,22,21,21,22,-1,1.91777409426173
twotree,179389127#3,-14424417,428,263,190,190,926,978,1.0561555075593954,3,0.9460043196544277,7,7,7,8,-1,2.7990138839679144
twotree,14407516#0,1370892719#1,426,34,8,8,172,178,1.0348837209302326,2,0.9534883720930233,11,11,11,12,-1,2.752353681830001
twotree,41289070#0,48360496,424,343,145,145,574,612,1.0662020905923344,3,0.9407665505226481,29,29,29,30,-1,2.064439045449968
twotree,14406517,14403170#1,422,183,202,202,916,962,1.0502183406113537,3,0.9519650655021834,3,3,3,4,-1,2.355634300187936
twotree,41784756,14425998#4,422,280,368,368,1371,1430,1.0430342815463165,3,0.9576951130561634,25,25,25,26,-1,2.670430182998452
twotree,119392524,41784756,421,1166,748,748,1543,1658,1.0745301360985093,4,0.9416720674011666,46,46,46,47,-1,1.682496517944274
twotree,172097074#2,-14424417,417,56,0,0,86,85,0.9883720930232558,1,0.9883720930232558,85,84,84,85,-1,2.594622003061667
twotree,43833216#1,41784756,416,271,177,177,711,743,1.0450070323488045,3,0.9592123769338959,49,49,49,50,-1,2.2126269296974685
twotree,-14409833#9,-104750111#1,412,61,15,15,190,196,1.0315789473684212,2,0.9578947368421052,9,9,9,10,-1,2.4809435848552854
twotree,14406517,41784756,412,257,52,52,376,388,1.0319148936170213,2,0.9627659574468085,34,34,34,35,-1,2.366341755165434
twotree,158464123#13,-104750111#1,411,22,25,25,130,142,1.0923076923076922,3,0.9076923076923077,14,14,14,15,-1,2.0120163802953703
twotree,119392511,41169505,411,17,0,0,99,101,1.02020202020202,2,0.9595959595959596,21,21,21,22,-1,2.3712836597859743
twotree,14420980#3,119392524,409,188,175,175,697,745,1.0688665710186513,3,0.9368723098995696,10,10,10,11,-1,2.482106361914075
twotree,14406517,14425758#1,408,94,138,138,558,583,1.0448028673835126,3,0.9551971326164874,5,5,5,6,-1,2.594598158739506
twotree,-14408809#1,615718351,406,68,34,34,287,301,1.048780487804878,3,0.9477351916376306,6,6,6,7,-1,2.4086421308705077
twotree,706224751#0,43833216#1,406,12,0,0,26,26,1.0,2,0.9230769230769231,2,2,2,3,-1,2.17494235218351
twotree,41784756,41411046,405,1046,1107,1107,3539,3671,1.0372986719412263,3,0.9646792879344448,10,10,10,11,-1,2.7691085706021834
twotree,14403170#1,119392511,405,204,186,186,1134,1184,1.0440917107583774,4,0.9603174603174603,14,14,14,15,-1,2.243643296655617
twotree,14403170#1,543970512,402,235,165,165,1014,1061,1.0463510848126232,3,0.9536489151873767,7,7,7,8,-1,2.362151203295249
twotree,14403170#1,189298750#2,402,45,0,0,131,135,1.0305343511450382,3,0.9618320610687023,31,31,31,32,-1,2.07448200939131
twotree,-547108907#5,14408960,401,5,0,0,15,14,0.9333333333333333,1,0.9333333333333333,14,13,13,14,-1,1.9913464134109882
twotree,158816797,41784756,400,52,95,95,282,297,1.053191489361702,3,0.950354609929078,15,15,15,16,-1,2.291861979457369
twotree,119392524,14420980#3,398,73,76,76,231,245,1.0606060606060606,2,0.9307359307359307,23,23,23,24,-1,2.3947766164739863
twotree,41289070#0,14426085#1,396,64,37,37,413,417,1.0096852300242132,2,0.9854721549636803,13,13,13,14,-1,2.7535795842948843
twotree,41784756,118709487,395,1,0,0,17,17,1.0,2,0.8823529411764706,2,2,2,3,-1,2.26238625418332
twotree,546975835#1,615718351,395,155,72,72,376,397,1.0558510638297873,3,0.9414893617021277,9,9,9,10,-1,2.3778661364728473
twotree,41289070#0,1118282184,393,150,39,39,1032,1072,1.0387596899224807,3,0.9602713178294574,11,11,11,12,-1,2.5874330622023582
twotree,14426085#1,41289070#0,391,49,46,46,358,368,1.0279329608938548,2,0.9664804469273743,22,22,22,23,-1,2.5906528885876248
twotree,172050841#2,43833216#1,390,42,0,0,46,45,0.9782608695652174,1,0.9782608695652174,45,44,44,45,-1,2.334196909837008
twotree,14406517,124952399#7,390,537,164,164,1396,1451,1.0393982808022924,3,0.9627507163323782,47,47,47,48,-1,2.280453935378857
twotree,118709487,14407516#0,389,29,0,0,99,100,1.0101010101010102,2,0.9696969696969697,13,13,13,14,-1,2.456483979805659
twotree,1370892719#7,14407516#0,387,10,0,0,110,116,1.0545454545454545,2,0.9272727272727272,3,3,3,4,-1,2.283641807514745
twotree,1118581567,41784756,386,3,0,0,25,26,1.04,2,0.88,5,5,5,6,-1,2.2242289462368827
twotree,119392524,546117107#5,385,7,0,0,32,32,1.0,2,0.9375,17,17,17,18,-1,2.2249112029413203
twotree,41289070#0,1118637221,385,0,0,0,5,4,0.8,1,0.8,4,3,3,4,-1,1.6094379124341005
twotree,-104750111#1,158464123#13,382,9,2,2,76,81,1.0657894736842106,2,0.9078947368421053,11,11,11,12,-1,2.38261219344909
twotree,48360496,41289070#0,379,362,495,495,1367,1476,1.079736649597659,4,0.944403803950256,3,3,3,4,-1,2.530604333118146
twotree,40038845#3,-14424417,378,36,32,32,146,150,1.0273972602739727,2,0.958904109589041,14,14,14,15,-1,2.2393898222795996
twotree,118709487,41784756,377,96,96,96,271,283,1.044280442804428,3,0.955719557195572,29,29,29,30,-1,2.108241771269572
twotree,48360496,14403170#1,376,349,420,420,1070,1131,1.0570093457943925,4,0.9560747663551402,2,2,2,3,-1,2.5436805444554405
twotree,548478181,-14409833#9,374,50,0,0,257,266,1.0350194552529184,2,0.9571984435797666,57,57,57,58,-1,2.529696083364946
twotree,41411046,41784756,372,455,673,673,2332,2429,1.0415951972555746,3,0.9626929674099486,6,6,6,7,-1,2.655328893272726
twotree,-14408432#1,41411046,371,48,17,17,197,210,1.0659898477157361,3,0.9390862944162437,5,5,5,6,-1,2.4648136854846756
twotree,14407526#1,119392524,369,43,31,31,188,200,1.0638297872340425,3,0.9361702127659575,9,9,9,10,-1,1.8778300789617142
twotree,-14424417,40038845#3,368,59,32,32,210,217,1.0333333333333334,3,0.9619047619047619,27,27,27,28,-1,2.5163924979093157
twotree,41938209,119392524,368,0,0,0,9,8,0.8888888888888888,1,0.8888888888888888,8,7,7,8,-1,2.0431918705451206
twotree,41411046,-14411047#1,365,89,29,29,315,324,1.0285714285714285,2,0.9650793650793651,14,14,14,15,-1,2.5181587345065153
twotree,14408960,-547108907#5,364,15,2,2,45,46,1.0222222222222221,2,0.9333333333333333,5,5,5,6,-1,2.3060269085777536
twotree,41411046,615718351,364,35,0,0,78,79,1.0128205128205128,2,0.9615384615384616,7,7,7,8,-1,2.2506224849079914
twotree,119392524,-158457196#6,362,47,30,30,155,171,1.103225806451613,3,0.896774193548387,14,14,14,15,-1,2.594237360362867
twotree,14403170#1,48360496,360,265,81,81,584,614,1.0513698630136987,3,0.946917808219178,6,6,6,7,-1,2.400734180081736
twotree,-14424843#1,41784756,360,188,219,219,905,943,1.0419889502762432,3,0.9646408839779006,10,10,10,11,-1,2.7164525838872025
twotree,-14424284#3,-14424417,358,158,210,210,749,777,1.0373831775700935,3,0.9639519359145527,9,9,9,10,-1,2.845599490521586
twotree,14407516#0,1370892719#7,357,28,6,6,142,147,1.0352112676056338,2,0.9507042253521126,1,1,1,2,-1,2.793626881015642
twotree,41411046,-14408432#1,356,62,11,11,219,225,1.0273972602739727,2,0.9634703196347032,3,3,3,4,-1,2.451884224988491
twotree,41784756,-14421948,355,273,491,491,1425,1490,1.0456140350877192,3,0.9564912280701754,8,8,8,9,-1,2.8037482767756425
twotree,706224751#0,-14424417,355,72,18,18,195,199,1.0205128205128204,2,0.9692307692307692,33,33,33,34,-1,2.557520186896925
twotree,543970512,14425758#1,355,112,165,165,595,619,1.0403361344537816,3,0.9630252100840336,15,15,15,16,-1,2.5902916169246626
twotree,41938209,14407526#1,354,20,17,17,85,87,1.0235294117647058,2,0.9529411764705882,11,11,11,12,-1,2.3809478560012884
twotree,-218748764#3,189298750#2,353,35,0,0,120,124,1.0333333333333334,2,0.95,31,31,31,32,-1,2.225396323024424
twotree,1118637221,41289070#0,352,18,0,0,109,111,1.018348623853211,2,0.963302752293578,32,32,32,33,-1,2.360313528558805
twotree,1370892719#1,14407516#0,352,36,10,10,119,126,1.0588235294117647,2,0.9243697478991597,4,4,4,5,-1,2.457543940119633
twotree,41784756,14413069#1,351,58,18,18,171,175,1.023391812865497,2,0.9649122807017544,40,40,40,41,-1,2.3861773987422623
twotree,124952399#7,41784756,350,36,10,10,140,144,1.0285714285714285,3,0.9642857142857143,52,52,52,53,-1,2.4422756980566147
twotree,119392511,-218748764#3,350,9,0,0,56,55,0.9821428571428571,1,0.9821428571428571,55,54,54,55,-1,2.41741946071326
twotree,615718351,-14408809#1,350,43,45,45,285,297,1.0421052631578946,3,0.9578947368421052,11,11,11,12,-1,2.4025105549911636
twotree,161676198,119392524,347,236,40,40,320,340,1.0625,4,0.94375,27,27,27,28,-1,2.0540249788671625
twotree,43833216#1,706224751#0,347,19,3,3,76,80,1.0526315789473684,3,0.9342105263157895,12,12,12,13,-1,2.126792896307531
twotree,43833216#1,551708756,346,91,0,0,133,135,1.0150375939849625,2,0.9699248120300752,40,40,40,41,-1,2.287035258190818
twotree,43833216#1,172050841#2,346,18,0,0,36,35,0.9722222222222222,1,0.9722222222222222,35,34,34,35,-1,2.4664735094594206
twotree,-158457196#6,119392524,345,158,73,73,367,388,1.0572207084468666,3,0.9427792915531336,20,20,20,21,-1,2.3789705776801235
